id,name,common_name,active_substance,therapeutic_area,group
475,Vegzelma,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",Antineoplastic agents
476,Byfavo,remimazolam,remimazolam besilate,Conscious Sedation,Psycholeptics
477,Cystagon,mercaptamine bitartrate,mercaptamine bitartrate,Cystinosis,Other alimentary tract and metabolism products
478,Nulibry,fosdenopterin,fosdenopterin hydrobromide dihydrate,"Metal Metabolism, Inborn Errors",Other alimentary tract and metabolism products
479,Reyataz,atazanavir sulfate,atazanavir (as sulfate),HIV Infections,Antivirals for systemic use
480,M-M-RVaxPro,"measles, mumps and rubella vaccine (live)","measles virus Enders? Edmonston strain (live, attenuated);mumps virus Jeryl Lynn (level B) strain (live, attenuated);rubella virus Wistar RA 27/3 strain (live, attenuated)",Rubella;Mumps;Immunization;Measles,Vaccines
481,ProQuad,"measles, mumps, rubella and varicella vaccine (live)","virus, live attenuated, measles, virus, live attenuated, mumps, virus, live attenuated, rubella, virus, live attenuated, varicella",Chickenpox;Rubella;Measles;Mumps;Immunization,Vaccines
482,Lupkynis,voclosporin,Voclosporin,Lupus Nephritis,Immunosuppressants
483,Entecavir Accord,entecavir,Entecavir,"Hepatitis B, Chronic",Antivirals for systemic use
484,Sivextro,tedizolid phosphate,tedizolid phosphate,"Soft Tissue Infections;Skin Diseases, Bacterial",Antibacterials for systemic use;Other antibacterials
485,DuoResp Spiromax,budesonide;formoterol,Budesonide;formoterol fumarate dihydrate,"Pulmonary Disease, Chronic Obstructive;Asthma",Drugs for obstructive airway diseases
486,BiResp Spiromax,budesonide;formoterol,Budesonide;formoterol fumarate dihydrate,"Pulmonary Disease, Chronic Obstructive;Asthma",Drugs for obstructive airway diseases
487,Libtayo,cemiplimab,Cemiplimab,"Carcinoma, Squamous Cell",Antineoplastic agents
488,Orgovyx,relugolix,relugolix,Prostatic Neoplasms,Endocrine therapy
489,Teriflunomide Mylan,teriflunomide,Teriflunomide,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
490,Epoetin Alfa Hexal,epoetin alfa,epoetin alfa,"Anemia;Kidney Failure, Chronic;Blood Transfusion, Autologous;Myelodysplastic Syndromes",Antianemic preparations
491,Abseamed,epoetin alfa,epoetin alfa,"Anemia;Kidney Failure, Chronic;Blood Transfusion, Autologous;Myelodysplastic Syndromes",Antianemic preparations
492,Binocrit,epoetin alfa,epoetin alfa,"Anemia;Kidney Failure, Chronic;Blood Transfusion, Autologous;Myelodysplastic Syndromes",Antianemic preparations
493,Vimpat,lacosamide,lacosamide,Epilepsy,Antiepileptics
494,Ovaleap,follitropin alfa,follitropin alfa,Anovulation,Sex hormones and modulators of the genital system
495,Vaxelis,"diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus type b conjugate vaccine (adsorbed)","Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens: pertussis toxoid, filamentous haemagglutinin, pertactin, fimbriae Types 2 and 3;hepatitis B surface antigen produced in yeast cells;poliovirus (inactivated): type 1 (Mahoney), type 2 (MEF-1), type 3 (Saukett) produced in Vero cells/ Haemophilus influenzae type b polysaccharide (polyribosylribitol phosphate) conjugated to meningococcal protein.","Meningitis, Haemophilus;Poliomyelitis;Tetanus;Diphtheria;Whooping Cough;Hepatitis B",Vaccines
496,Biktarvy,bictegravir;emtricitabine;tenofovir alafenamide,bictegravir;emtricitabine;tenofovir alafenamide;fumarate,HIV Infections,Antivirals for systemic use
497,Stribild,elvitegravir;cobicistat;emtricitabine;tenofovir disoproxil,elvitegravir;cobicistat;emtricitabine;tenofovir disoproxil fumarate,HIV Infections,"Antivirals for treatment of HIV infections, combinations;Antivirals for systemic use"
498,Siklos,hydroxycarbamide,hydroxycarbamide,"Anemia, Sickle Cell",Antineoplastic agents
499,Evoltra,clofarabine,clofarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Antineoplastic agents
500,NeoRecormon,epoetin beta,epoetin beta,"Kidney Failure, Chronic;Anemia;Cancer;Blood Transfusion, Autologous",Antianemic preparations
501,Byannli (previously Paliperidone Janssen-Cilag International),paliperidone,paliperidone palmitate,Schizophrenia,Psycholeptics
502,Trevicta (previously Paliperidone Janssen),paliperidone,paliperidone palmitate,Schizophrenia,Psycholeptics
503,Xeplion,paliperidone,paliperidone palmitate,Schizophrenia,Psycholeptics
504,Fluenz,"influenza vaccine (live attenuated, nasal)","Influenza virus A/ Victoria/4897/2022  (H1N1)pdm09 - like strain (A/ Norway/31694/2022, MEDI 369815),   A/Thailand/8/2022 (H3N2) - like strain (A/Thailand/8/2022, MEDI 370626), B/ Austria/1359417/2021 - like strain (B/ Austria/1359417/2021, MEDI 355292)","Influenza, Human",Vaccines
505,Opdivo,nivolumab,nivolumab,"Melanoma;Hodgkin Disease;Carcinoma, Renal Cell;Carcinoma, Non-Small-Cell Lung;Carcinoma, Transitional Cell;Squamous Cell Carcinoma of Head and Neck;Urologic Neoplasms;Mesothelioma;Colorectal Neoplasms",Antineoplastic agents
506,Yervoy,ipilimumab,Ipilimumab,"Melanoma;Carcinoma, Renal Cell;Carcinoma, Non-Small-Cell Lung;Mesothelioma, Malignant;Colorectal Neoplasms",Antineoplastic agents
507,Elrexfio,elranatamab,elranatamab,Multiple Myeloma,Antineoplastic agents
508,Dovato,dolutegravir;lamivudine,dolutegravir sodium;lamivudine,HIV Infections,Antivirals for systemic use
509,Rasagiline Viatris (previously Rasagiline Mylan),rasagiline,rasagiline tartrate,Parkinson Disease,Anti-Parkinson drugs
510,Luveris,lutropin alfa,lutropin alfa,"Ovulation Induction;Infertility, Female",Sex hormones and modulators of the genital system
511,Gavreto,pralsetinib,pralsetinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
512,Fetcroja,cefiderocol,cefiderocol sulfate tosilate,Gram-Negative Bacterial Infections,Antibacterials for systemic use
513,Fruzaqla,fruquintinib,fruquintinib,Colorectal Neoplasms,Antineoplastic agents
514,Rivastigmine Hexal,rivastigmine,rivastigmine,Dementia;Alzheimer Disease;Parkinson Disease,Psychoanaleptics
515,DuoPlavin,clopidogrel;acetylsalicylic acid,clopidogrel;Acetylsalicylic acid,Acute Coronary Syndrome;Myocardial Infarction,Antithrombotic agents
516,Rivastigmine Sandoz,rivastigmine,rivastigmine,Dementia;Alzheimer Disease;Parkinson Disease,Psychoanaleptics
517,Rivastigmine 1 A Pharma,rivastigmine,rivastigmine,Alzheimer Disease;Dementia;Parkinson Disease,Psychoanaleptics
518,Gliolan,5-aminolevulinic acid hydrochloride,5-aminolevulinic acid hydrochloride,Glioma,Antineoplastic agents
519,Palonosetron Accord,palonosetron,Palonosetron,Vomiting;Nausea;Cancer,Antiemetics and antinauseants
520,Livmarli,Maralixibat chloride,Maralixibat chloride,Alagille Syndrome,Other drugs for bile therapy
521,"Vantavo (previously Alendronate sodium and colecalciferol, MSD)",alendronic acid;colecalciferol,alendronic acid;colecalciferol,"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
522,Fosavance,alendronic acid;colecalciferol,alendronic acid;colecalciferol,"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
523,Adrovance,alendronic acid;colecalciferol,colecalciferol;alendronic acid (as sodium trihydrate),"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
524,Arsenic trioxide Mylan,arsenic trioxide,Arsenic trioxide,"Leukemia, Promyelocytic, Acute",Antineoplastic agents
525,Inrebic,fedratinib,fedratinib dihydrochloride monohydrate,Myeloproliferative Disorders;Primary Myelofibrosis,Antineoplastic agents
526,Ixchiq,Chikungunya vaccine (live),"Chikungunya virus, strain CHIKV LR2006-OPY1, live attenuated",Chikungunya virus,Vaccines
527,Roteas,edoxaban,edoxaban tosilate,Stroke;Venous Thromboembolism,Antithrombotic agents
528,Lixiana,edoxaban,edoxaban tosilate,Stroke;Venous Thromboembolism,Antithrombotic agents
529,Agilus,"dantrolene sodium, hemiheptahydrate","dantrolene sodium, hemiheptahydrate",Malignant Hyperthermia,MUSCLE RELAXANTS
530,Masitinib AB Science,masitinib,Masitinib mesilate,Amyotrophic Lateral Sclerosis,Antineoplastic agents
531,Voxzogo,vosoritide,Vosoritide,Achondroplasia,Drugs for treatment of bone diseases
532,Diacomit,stiripentol,stiripentol,"Myoclonic Epilepsy, Juvenile",Antiepileptics
533,Lenalidomide Mylan,lenalidomide,lenalidomide,Multiple Myeloma,Immunosuppressants
534,HBVaxPro,hepatitis B vaccine (recombinant DNA),"hepatitis B, recombinant surface antigen",Hepatitis B;Immunization,Vaccines
535,Elocta,efmoroctocog alfa,efmoroctocog alfa,Hemophilia A,Antihemorrhagics
536,Nucala,mepolizumab,Mepolizumab,Asthma,Drugs for obstructive airway diseases
537,Idefirix,imlifidase,Imlifidase,"Desensitization, Immunologic;Kidney Transplantation",Immunosuppressants
538,Kesimpta,ofatumumab,Ofatumumab,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressant
539,Imjudo,tremelimumab,Tremelimumab,"Carcinoma, Hepatocellular;Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
540,Ultomiris,ravulizumab,ravulizumab,"Hemoglobinuria, Paroxysmal",Selective immunosuppressants
541,Sirturo,bedaquiline,bedaquiline fumarate,"Tuberculosis, Multidrug-Resistant",bedaquiline
542,Cayston,aztreonam,aztreonam lysine,Cystic Fibrosis;Respiratory Tract Infections,Antibacterials for systemic use
543,Bortezomib Accord,bortezomib,bortezomib,Multiple Myeloma,Antineoplastic agents
544,Ebglyss,Lebrikizumab,Lebrikizumab,"Dermatitis, Atopic",Other dermatological preparations
545,Palynziq,pegvaliase,Pegvaliase,Phenylketonurias,Other alimentary tract and metabolism products
546,Emtricitabine/Tenofovir disoproxil Krka d.d.,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil succinate,HIV Infections,Antivirals for systemic use
547,Emtricitabine/Tenofovir disoproxil Mylan,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil maleate,HIV Infections,Antivirals for systemic use
548,DaTSCAN,ioflupane (123l),ioflupane (123l),"Tomography, Emission-Computed, Single-Photon;Lewy Body Disease;Parkinson Disease;Alzheimer Disease",Diagnostic radiopharmaceuticals
549,Leflunomide ratiopharm,leflunomide,leflunomide,"Arthritis, Rheumatoid",Immunosuppressants
550,Altuvoct,efanesoctocog alfa,Efanesoctocog alfa,Hemophilia A,Antihemorrhagics
551,Invega,paliperidone,paliperidone,Schizophrenia;Psychotic Disorders,Psycholeptics
552,Dimethyl fumarate Mylan,dimethyl fumarate,dimethyl fumarate,Multiple Sclerosis,Immunosuppressants
553,Zolgensma,onasemnogene abeparvovec,onasemnogene abeparvovec,"Muscular Atrophy, Spinal",Other drugs for disorders of the musculo-skeletal system
554,Dimethyl fumarate Accord,dimethyl fumarate,dimethyl fumarate,Multiple Sclerosis,Immunosuppressants
555,Truqap,capivasertib,capivasertib,Breast Neoplasms,Antineoplastic agents
556,Dimethyl fumarate Neuraxpharm,dimethyl fumarate,dimethyl fumarate,Multiple Sclerosis,Immunosuppressants
557,Lucentis,ranibizumab,ranibizumab,"Wet Macular Degeneration;Macular Edema;Diabetes Complications;Myopia, Degenerative;Choroidal Neovascularization",Ophthalmologicals
558,Pixuvri,pixantrone dimaleate,pixantrone dimaleate,"Lymphoma, Non-Hodgkin",Antineoplastic agents
559,Zevalin,ibritumomab tiuxetan,ibritumomab tiuxetan,"Lymphoma, Follicular",Therapeutic radiopharmaceuticals
560,Qalsody,Tofersen,Tofersen,Amyotrophic Lateral Sclerosis,Other nervous system drugs
561,Azacitidine Accord,azacitidine,azacitidine,"Myelodysplastic Syndromes;Leukemia, Myelomonocytic, Chronic;Leukemia, Myeloid, Acute",Antineoplastic agents
562,Camcevi,leuprorelin,leuprorelin mesilate,Prostatic Neoplasms,Endocrine therapy
563,Torisel,temsirolimus,Temsirolimus,"Carcinoma, Renal Cell;Lymphoma, Mantle-Cell",Antineoplastic agents
564,Duloxetine Lilly,duloxetine,duloxetine,"Neuralgia;Diabetic Neuropathies;Depressive Disorder, Major",Psychoanaleptics
565,Cymbalta,duloxetine,duloxetine,"Anxiety Disorders;Diabetic Neuropathies;Depressive Disorder, Major",Psychoanaleptics
566,Yentreve,duloxetine,duloxetine hydrochloride,"Urinary Incontinence, Stress",Psychoanaleptics
567,Oncaspar,pegaspargase,pegaspargase,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Antineoplastic agents
568,Adcirca (previously Tadalafil Lilly),tadalafil,tadalafil,"Hypertension, Pulmonary",Urologicals
569,Xospata,gilteritinib,gilteritinib fumarate,"Leukemia, Myeloid, Acute",Antineoplastic agents
570,Eribulin Baxter,eribulin,Eribulin mesylate,Breast Neoplasms;Liposarcoma,Antineoplastic agents
571,Obgemsa,vibegron,Vibegron,"Urinary Bladder, Overactive;Urinary Incontinence",Urologicals
572,Mounjaro,tirzepatide,Tirzepatide,"Diabetes Mellitus, Type 2;Obesity;Overweight",Drugs used in diabetes
573,Zometa,zoledronic acid,zoledronic acid;zoledronic acid monohydrate,"Cancer;Fractures, Bone",Drugs for treatment of bone diseases
574,Leqvio,inclisiran,inclisiran,Hypercholesterolemia;Dyslipidemias,Lipid modifying agents
575,Sotyktu,deucravacitinib,Deucravacitinib,Psoriasis,Immunosuppressants
576,Esperoct,turoctocog alfa pegol,Turoctocog alfa pegol,Hemophilia A,Antihemorrhagics
577,Grasustek,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
578,Abilify Maintena,aripiprazole,aripiprazole,Schizophrenia,Psycholeptics
579,Abiraterone Accord,abiraterone,abiraterone acetate,Prostatic Neoplasms,Endocrine therapy
580,Buccolam,midazolam,midazolam,Epilepsy,Psycholeptics
581,Emtricitabine/Tenofovir disoproxil Krka,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil succinate,HIV Infections,Antivirals for systemic use
582,Evusheld,tixagevimab;cilgavimab,tixagevimab;cilgavimab,COVID-19 virus infection,
583,Memantine Mylan,memantine,memantine hydrochloride,Alzheimer Disease,Psychoanaleptics;Other anti-dementia drugs
584,Duloxetine Zentiva,duloxetine,duloxetine,"Neuralgia;Depressive Disorder, Major;Anxiety Disorders;Diabetes Mellitus",Other antidepressants
585,Lenalidomide Accord,lenalidomide,lenalidomide,Multiple Myeloma,Immunosuppressants
586,Jakavi,ruxolitinib,ruxolitinib (as phosphate),Myeloproliferative Disorders;Polycythemia Vera;Graft vs Host Disease,Antineoplastic agents
587,Ozurdex,dexamethasone,dexamethasone,Macular Edema;Uveitis,Ophthalmologicals;Other ophthalmologicals
588,Filspari,Sparsentan,Sparsentan,"Glomerulonephritis, IGA",Agents acting on the renin-angiotensin system
589,Capecitabine Accord,capecitabine,capecitabine,Colonic Neoplasms;Breast Neoplasms;Colorectal Neoplasms;Stomach Neoplasms,Antineoplastic agents
590,Xerava,eravacycline,eravacycline,Infection;Bacterial Infections,Antibacterials for systemic use
591,Vizamyl,flutemetamol (18F),flutemetamol (18F),Radionuclide Imaging;Alzheimer Disease,Diagnostic radiopharmaceuticals
592,Mepsevii,vestronidase alfa,vestronidase alfa,Mucopolysaccharidosis VII,Enzymes
593,Nplate,romiplostim,romiplostim,"Purpura, Thrombocytopenic, Idiopathic",Antihemorrhagics
594,Neulasta,pegfilgrastim,pegfilgrastim,Neutropenia;Cancer,Immunostimulants
595,Aranesp,darbepoetin alfa,darbepoetin alfa,"Anemia;Cancer;Kidney Failure, Chronic",Other antianemic preparations
596,Talvey,talquetamab,talquetamab,Multiple Myeloma,Antineoplastic agents
597,Aquipta,atogepant,atogepant,Migraine Disorders,
598,Ordspono,Odronextamab,Odronextamab,"Lymphoma, Follicular",Antineoplastic agents
599,Dabigatran etexilate Teva,dabigatran etexilate,Dabigatran etexilate mesilate,Venous Thromboembolism,Antithrombotic agents
600,Adcetris,brentuximab vedotin,Brentuximab vedotin,"Lymphoma, Non-Hodgkin;Hodgkin Disease",Antineoplastic agents
601,Xtandi,enzalutamide,enzalutamide,Prostatic Neoplasms,Endocrine therapy
602,Rydapt,midostaurin,Midostaurin,"Leukemia, Myeloid, Acute;Mastocytosis",Antineoplastic agents
603,Cinacalcet Accordpharma,cinacalcet,cinacalcet hydrochloride,Hyperparathyroidism,Calcium homeostasis
604,Inhixa,enoxaparin sodium,enoxaparin sodium,Venous Thromboembolism,Antithrombotic agents
605,Veklury,remdesivir,remdesivir,COVID-19 virus infection,
606,Orencia,abatacept,Abatacept,"Arthritis, Psoriatic;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",Immunosuppressants
607,RoActemra,tocilizumab,tocilizumab,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Cytokine Release Syndrome;Giant Cell Arteritis;COVID-19 virus infection",Immunosuppressants
608,Valdoxan,Agomelatine,Agomelatine,"Depressive Disorder, Major",Psychoanaleptics
609,Artesunate Amivas,artesunate,artesunate,Malaria,Antiprotozoals
610,Ebvallo,tabelecleucel,Tabelecleucel,Lymphoproliferative Disorders,
611,HyQvia,human normal immunoglobulin,Human normal immunoglobulin,"Immunologic Deficiency Syndromes;Polyradiculoneuropathy;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",Immune sera and immunoglobulins
612,Invanz,ertapenem,ertapenem sodium,"Community-Acquired Infections;Streptococcal Infections;Staphylococcal Infections;Gram-Negative Bacterial Infections;Surgical Wound Infection;Pneumonia, Bacterial",Antibacterials for systemic use
613,Supemtek,"Quadrivalent influenza vaccine (recombinant, prepared in cell culture)","Influenza A virus subtype H1N1 haemagglutinin, recombinant;Influenza A virus subtype H3N2 haemagglutinin, recombinant;Influenza B virus Victoria lineage haemagglutinin, recombinant;Influenza B virus Yamagata lineage haemagglutinin, recombinant","Influenza, Human",Vaccines
614,Agamree,Vamorolone,Vamorolone,"Muscular Dystrophy, Duchenne",Glucocorticoids
615,Neoclarityn,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial;Urticaria;Rhinitis, Allergic, Seasonal",Antihistamines for systemic use
616,Azomyr,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial;Urticaria;Rhinitis, Allergic, Seasonal",Antihistamines for systemic use
617,Aerius,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial;Urticaria;Rhinitis, Allergic, Seasonal",Antihistamines for systemic use
618,Ocrevus,ocrelizumab,ocrelizumab,Multiple Sclerosis,Immunosuppressants
619,Xaluprine (previously Mercaptopurine Nova Laboratories),mercaptopurine,6-mercaptopurine monohydrate,"Leukemia, Lymphoid",Antineoplastic agents
620,Opdualag,relatlimab / nivolumab,nivolumab;Relatlimab,Melanoma,Antineoplastic agents
621,Vafseo,vadadustat,Vadadustat,"Renal Insufficiency, Chronic;Anemia",Antianemic preparations
622,Prialt,ziconotide,ziconotide,"Injections, Spinal;Pain",Analgesics
623,Deferasirox Accord,deferasirox,deferasirox,Iron Overload;beta-Thalassemia,All other therapeutic products;Iron chelating agents
624,Nintedanib Accord,nintedanib,nintedanib,"Idiopathic Pulmonary Fibrosis;Lung Diseases, Interstitial;Scleroderma, Systemic",Antineoplastic agents
625,Luxturna,voretigene neparvovec,voretigene neparvovec,Leber Congenital Amaurosis;Retinitis Pigmentosa,Other ophthalmologicals
626,Cubicin,daptomycin,daptomycin,"Gram-Positive Bacterial Infections;Bacteremia;Soft Tissue Infections;Endocarditis, Bacterial",Antibacterials for systemic use
627,Duloxetine Mylan,duloxetine,duloxetine,"Neuralgia;Diabetic Neuropathies;Depressive Disorder, Major;Anxiety Disorders",Psychoanaleptics
628,Nilemdo,bempedoic acid,Bempedoic acid,Hypercholesterolemia;Dyslipidemias,Lipid modifying agents
629,Nustendi,bempedoic acid;ezetimibe,Bempedoic acid;Ezetimibe,Hypercholesterolemia;Dyslipidemias,Lipid modifying agents
630,Brimica Genuair,aclidinium;formoterol fumarate dihydrate,formoterol fumarate dihydrate;aclidinium bromide,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
631,Bretaris Genuair,aclidinium bromide,aclidinium bromide,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
632,Atosiban SUN,atosiban,atosiban (as acetate),Premature Birth,Other gynecologicals
633,Lydisilka,estetrol;drospirenone,estetrol monohydrate;drospirenone,"Contraceptives, Oral",Sex hormones and modulators of the genital system
634,Adynovi,rurioctocog alfa pegol,rurioctocog alfa pegol,Hemophilia A,Antihemorrhagics
635,Advate,octocog alfa,Octocog alfa,Hemophilia A,Antihemorrhagics
636,Eviplera,emtricitabine;rilpivirine;tenofovir disoproxil,emtricitabine;rilpivirine hydrochloride;tenofovir disoproxil fumarate,HIV Infections,Antivirals for systemic use
637,Sondelbay,teriparatide,teriparatide,Osteoporosis,Calcium homeostasis
638,Alecensa,alectinib,alectinib hydrochloride,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
639,Xigduo,dapagliflozin;metformin,metformin hydrochloride;dapagliflozin propanediol monohydrate,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
640,Firazyr,icatibant,icatibant,"Angioedemas, Hereditary",Cardiac therapy
641,Drovelis,estetrol;drospirenone,drospirenone;estetrol monohydrate,"Contraceptives, Oral",Sex hormones and modulators of the genital system
642,Neoatricon,Dopamine hydrochloride,Dopamine hydrochloride;Dopamine,Hypotension,Cardiac therapy
643,Invokana,canagliflozin,canagliflozin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
644,Vokanamet,canagliflozin;metformin,canagliflozin;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
645,Wyost,denosumab,denosumab,"Giant Cell Tumor of Bone;Neoplasms, Bone Tissue",Drugs for treatment of bone diseases
646,Nezglyal,leriglitazone,leriglitazone hydrochloride,Adrenoleukodystrophy,Other nervous system drugs
647,Tenkasi (previously Orbactiv),oritavancin,oritavancin (diphosphate),"Soft Tissue Infections;Skin Diseases, Bacterial",Antibacterials for systemic use
648,Ozempic,semaglutide,semaglutide,Diabetes Mellitus,Drugs used in diabetes
649,Opfolda,miglustat,miglustat,Glycogen Storage Disease Type II,Other alimentary tract and metabolism products
650,Soliris,eculizumab,Eculizumab,"Hemoglobinuria, Paroxysmal",Immunosuppressants
651,GoResp Digihaler (previously Budesonide/Formoterol Teva Pharma B.V.),budesonide;formoterol fumarate dihydrate,Budesonide;formoterol fumarate dihydrate,"Asthma;Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
652,Hexyon,"diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus influenzae type b conjugate vaccine (adsorbed)","filamentous haemagglutinin;Haemophilus influenzae type B polysaccharide (polyribosylribitol phosphate);hepatitis B surface antigen;pertussis toxoid;poliovirus (inactivated) type 1 (Mahoney strain) produced on Vero cells;poliovirus (inactivated) type 2 (MEF-1 strain) produced on Vero cells;poliovirus (inactivated) type 3 (Saukett strain) produced on Vero cells;tetanus protein;tetanus toxoid adsorbed on aluminium hydroxide, hydrated;Diphtheria toxoid","Hepatitis B;Tetanus;Immunization;Meningitis, Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria",Vaccines
653,Hexacima,"diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus influenzae type b conjugate vaccine (adsorbed)",hepatitis B surface antigen;Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens Pertussis Toxoid Filamentous Haemagglutinin;poliovirus (inactivated) type 1 (Mahoney) type 2 (MEF-1) type 3 (Saukett);Haemophilus influenzae type b polysaccharide (Polyribosylribitol Phosphate) conjugated to Tetanus protein,"Hepatitis B;Tetanus;Immunization;Meningitis, Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria","Vaccines;Bacterial and viral vaccines, combined"
654,Veltassa,patiromer,patiromer sorbitex calcium,Hyperkalemia,Drugs for treatment of hyperkalemia and hyperphosphatemia
655,Litfulo,ritlecitinib,ritlecitinib tosilate,Alopecia Areata,Immunosuppressants
656,Libmyris,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Spondylitis, Ankylosing;Arthritis, Psoriatic;Psoriasis;Hidradenitis Suppurativa;Crohn Disease;Colitis, Ulcerative;Uveitis",Immunosuppressants
657,Respreeza,alpha1-proteinase inhibitorÿ(human),Human alpha1-proteinase inhibitor,"Genetic Diseases, Inborn;Lung Diseases",Antihemorrhagics
658,Zykadia,ceritinib,ceritinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
659,Intuniv,guanfacine,guanfacine hydrochloride,Attention Deficit Disorder with Hyperactivity,"Antihypertensives;Antiadrenergic agents, centrally acting"
660,Nexavar,sorafenib,sorafenib,"Carcinoma, Hepatocellular;Carcinoma, Renal Cell",Antineoplastic agents
661,Sylvant,siltuximab,siltuximab,Giant Lymph Node Hyperplasia,Immunosuppressants
662,Lamivudine Teva,lamivudine,lamivudine,"Hepatitis B, Chronic",Antivirals for systemic use
663,Emtricitabine/Tenofovir disoproxil Zentiva,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil phosphate,HIV Infections,Antivirals for systemic use
664,Irbesartan/Hydrochlorothiazide Teva,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
665,Parsabiv,etelcalcetide,etelcalcetide hydrochloride,"Hyperparathyroidism, Secondary",Calcium homeostasis;Anti-parathyroid agents
666,Rizmoic,naldemedine,Naldemedine tosilate,Constipation,Drugs for constipation;Peripheral opioid receptor antagonists
667,Sitagliptin / Metformin hydrochloride Sun,sitagliptin;metformin hydrochloride,sitagliptin fumarate;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
668,Mimpara,cinacalcet,cinacalcet hydrochloride,Hypercalcemia;Parathyroid Neoplasms;Hyperparathyroidism,Calcium homeostasis
669,Jubbonti,denosumab,denosumab,"Osteoporosis;Osteoporosis, Postmenopausal;Bone Resorption",Drugs for treatment of bone diseases
670,Enbrel,etanercept,etanercept,"Spondylitis, Ankylosing;Arthritis, Juvenile Rheumatoid;Arthritis, Psoriatic;Psoriasis;Arthritis, Rheumatoid",Immunosuppressants
671,Trodelvy,sacituzumab govitecan,Sacituzumab govitecan,Breast Neoplasms;Triple Negative Breast Neoplasms,Antineoplastic agents
672,Myocet liposomal (previously Myocet),doxorubicin,doxorubicin hydrochloride,Breast Neoplasms,Antineoplastic agents
673,PecFent,fentanyl,fentanyl,Pain;Cancer,Analgesics
674,Alprolix,eftrenonacog alfa,eftrenonacog alfa,Hemophilia B,Vitamin K and other hemostatics;Blood coagulation factors
675,Pirfenidone Viatris,pirfenidone,Pirfenidone,Idiopathic Pulmonary Fibrosis;Lung Diseases;Respiratory Tract Diseases,Immunosuppressants
676,Xromi,hydroxycarbamide,hydroxycarbamide,"Anemia, Sickle Cell",Antineoplastic agents
677,Onpattro,patisiran,patisiran sodium,"Amyloidosis, Familial",Other nervous system drugs
678,Xultophy,insulin degludec;liraglutide,insulin degludec;liraglutide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
679,Sunitinib Accord,sunitinib,sunitinib,"Gastrointestinal Stromal Tumors;Carcinoma, Renal Cell;Neuroendocrine Tumors",Antineoplastic agents
680,Awiqli,Insulin icodec,Insulin icodec,"Diabetes Mellitus;Diabetes Mellitus, Type 2","Insulins and analogues for injection, long-acting"
681,Cufence,trientine dihydrochloride,trientine dihydrochloride,Hepatolenticular Degeneration,Other alimentary tract and metabolism products
